GeneID,Chromosome,Start,End,Strand,Length,SRR21835898,SRR21835899,SRR21835896,SRR21835897,SRR21835900,SRR21835901
SAUSA300_0050,CP000255.1,60849,61187,-,339,4,8,2,2,16,6
SAUSA300_0052,CP000255.1,62607,62789,+,183,0,2,0,1,0,0
SAUSA300_0053,CP000255.1,63100,63597,-,498,8,8,24,14,11,12
SAUSA300_0054,CP000255.1,63785,63913,-,129,0,0,0,0,0,0
SAUSA300_0055,CP000255.1,64125,65222,+,1098,2004,3731,2905,2368,2818,4224
SAUSA300_0056,CP000255.1,65715,66218,-,504,9,10,16,11,14,12
SAUSA300_0057,CP000255.1,66234,66545,-,312,0,4,3,2,0,0
SAUSA300_0058,CP000255.1,66547,66639,-,93,0,0,0,0,0,0
SAUSA300_0059,CP000255.1,66632,66982,-,351,0,0,0,0,0,1
SAUSA300_0060,CP000255.1,67966,68790,+,825,4,3,3,5,5,0
SAUSA300_0061,CP000255.1,68890,69819,-,930,143,124,140,146,128,138
SAUSA300_0062,CP000255.1,69839,70837,-,999,59,68,46,38,47,65
SAUSA300_0063,CP000255.1,70875,71564,-,690,0,0,6,0,6,4
SAUSA300_0064,CP000255.1,71606,73027,-,1422,115,58,82,107,65,63
SAUSA300_0065,CP000255.1,73113,74348,-,1236,124,68,105,146,102,63
SAUSA300_0066,CP000255.1,74617,75063,-,447,0,0,2,0,2,0
SAUSA300_0067,CP000255.1,75565,75996,+,432,1498,1164,1112,1420,1546,1098
SAUSA300_0068,CP000255.1,76073,76225,-,153,2,4,12,2,0,4
SAUSA300_0070,CP000255.1,77130,77945,+,816,519,662,586,485,514,555
SAUSA300_0071,CP000255.1,78432,79445,+,1014,90,74,36,59,79,79
SAUSA300_0072,CP000255.1,79759,80397,+,639,5,0,0,2,8,0
SAUSA300_0073,CP000255.1,80394,81947,+,1554,20,16,8,19,7,6
SAUSA300_0074,CP000255.1,81950,82906,+,957,17,14,12,6,7,5
SAUSA300_0075,CP000255.1,82906,83673,+,768,9,4,11,10,2,6
SAUSA300_0076,CP000255.1,83640,84407,+,768,16,5,5,11,0,0
SAUSA300_0077,CP000255.1,84400,85035,+,636,2,0,0,0,0,0
SAUSA300_0078,CP000255.1,86094,88118,+,2025,631,1229,589,687,1260,1279
SAUSA300_0079,CP000255.1,88136,88681,+,546,175,535,291,227,365,574
SAUSA300_0080,CP000255.1,89207,89299,+,93,0,1,0,0,0,0
SAUSA300_0081,CP000255.1,89446,91197,+,1752,6,10,4,16,16,20
SAUSA300_0082,CP000255.1,91291,91743,-,453,20,12,39,34,15,20
SAUSA300_0083,CP000255.1,91958,92713,-,756,24,18,22,13,10,18
SAUSA300_0084,CP000255.1,92713,92973,-,261,0,0,0,0,0,0
SAUSA300_0085,CP000255.1,93110,94177,+,1068,8,14,6,10,16,14
SAUSA300_0086,CP000255.1,94208,95542,+,1335,40,74,28,18,74,82
SAUSA300_0088,CP000255.1,97021,97122,-,102,0,0,0,2,0,0
SAUSA300_0089,CP000255.1,97421,98353,-,933,198,240,206,228,214,266
SAUSA300_0090,CP000255.1,98968,99264,+,297,16,20,4,4,9,11
SAUSA300_0091,CP000255.1,99336,100556,-,1221,6,15,7,8,14,10
SAUSA300_0092,CP000255.1,100549,101010,-,462,0,2,1,3,0,0
SAUSA300_0093,CP000255.1,101212,102072,+,861,20,30,20,17,23,20
SAUSA300_0094,CP000255.1,102427,102960,-,534,0,0,0,0,2,0
SAUSA300_0095,CP000255.1,103051,103794,+,744,2,6,2,0,4,4
SAUSA300_0096,CP000255.1,104228,104830,+,603,4,0,1,1,4,0
SAUSA300_0097,CP000255.1,105097,108249,+,3153,127,118,139,156,92,114
SAUSA300_0098,CP000255.1,108306,108788,+,483,27,32,30,58,35,34
SAUSA300_0099,CP000255.1,108993,109979,+,987,108,10,101,88,12,22
SAUSA300_0100,CP000255.1,110200,110970,+,771,2,13,9,8,5,22
SAUSA300_0101,CP000255.1,111022,111792,+,771,26,31,27,18,46,51
SAUSA300_0102,CP000255.1,111856,112626,+,771,24,40,20,24,10,26
SAUSA300_0103,CP000255.1,112693,113460,+,768,31,36,36,34,42,58
SAUSA300_0104,CP000255.1,113593,115791,+,2199,91,144,104,106,178,111
SAUSA300_0105,CP000255.1,115942,117120,+,1179,70,41,53,58,72,65
SAUSA300_0106,CP000255.1,117122,118510,+,1389,53,101,109,85,57,128
SAUSA300_0107,CP000255.1,119003,120664,-,1662,90,75,40,57,84,90
SAUSA300_0108,CP000255.1,120990,122765,-,1776,245,112,266,239,152,147
SAUSA300_0109,CP000255.1,122939,123811,-,873,0,2,1,2,4,0
SAUSA300_0110,CP000255.1,123924,125321,+,1398,0,0,0,0,2,2
SAUSA300_0111,CP000255.1,125511,125984,+,474,43,24,44,48,52,46
SAUSA300_0112,CP000255.1,126246,127838,+,1593,132,172,86,110,187,147
SAUSA300_0113,CP000255.1,128167,129693,-,1527,518,175,512,574,191,179
SAUSA300_0114,CP000255.1,130114,130866,-,753,14,22,18,22,22,20
SAUSA300_0115,CP000255.1,131235,132233,-,999,142,184,141,169,236,198
SAUSA300_0116,CP000255.1,132230,133225,-,996,6,16,0,5,12,8
SAUSA300_0117,CP000255.1,133241,134233,-,993,2,0,4,2,4,6
SAUSA300_0118,CP000255.1,134524,135444,+,921,8,13,0,7,12,17
SAUSA300_0119,CP000255.1,135441,136451,+,1011,6,23,4,4,21,31
SAUSA300_0120,CP000255.1,136472,138226,+,1755,16,41,29,19,60,35
SAUSA300_0121,CP000255.1,138219,139475,+,1257,15,24,6,6,36,15
SAUSA300_0122,CP000255.1,139465,141201,+,1737,12,26,10,10,41,31
SAUSA300_0123,CP000255.1,141110,142960,+,1851,32,43,35,16,52,41
SAUSA300_0124,CP000255.1,142935,143711,+,777,14,15,20,12,17,20
SAUSA300_0125,CP000255.1,143711,144913,+,1203,30,37,19,35,53,55
SAUSA300_0126,CP000255.1,144917,145681,+,765,17,37,24,24,32,37
SAUSA300_0127,CP000255.1,145877,146284,+,408,0,6,2,0,4,2
SAUSA300_0128,CP000255.1,146334,146960,+,627,2,0,2,0,2,4
SAUSA300_0129,CP000255.1,147172,147948,+,777,2202,6670,2365,2092,5950,6093
SAUSA300_0130,CP000255.1,148284,149264,+,981,4,0,0,0,0,2
SAUSA300_0131,CP000255.1,149227,149919,+,693,2,0,0,4,0,0
SAUSA300_0132,CP000255.1,150129,151295,+,1167,0,0,0,0,2,0
SAUSA300_0133,CP000255.1,151276,152514,+,1239,4,4,0,2,0,1
SAUSA300_0134,CP000255.1,152504,153934,+,1431,29,80,34,40,56,62
SAUSA300_0135,CP000255.1,154202,154801,+,600,58,138,30,60,114,144
SAUSA300_0136,CP000255.1,155169,155894,+,726,13181,2720,10611,13449,3056,2830
SAUSA300_0137,CP000255.1,156086,156841,-,756,67,66,66,60,90,102
SAUSA300_0138,CP000255.1,157077,157784,+,708,28,18,31,28,13,10
SAUSA300_0139,CP000255.1,157791,159143,+,1353,107,105,83,109,119,158
SAUSA300_0140,CP000255.1,159224,159886,+,663,389,1057,329,318,866,902
SAUSA300_0141,CP000255.1,159914,161092,+,1179,1725,3610,2083,1730,3377,3869
SAUSA300_0142,CP000255.1,161223,162038,-,816,6,6,8,4,10,8
SAUSA300_0143,CP000255.1,162035,162835,-,801,13,1,7,2,4,0
SAUSA300_0144,CP000255.1,162837,163610,-,774,7,4,9,6,4,2
SAUSA300_0145,CP000255.1,163824,164780,-,957,19,8,14,6,3,4
SAUSA300_0146,CP000255.1,165009,166553,+,1545,24,10,44,21,6,4
SAUSA300_0147,CP000255.1,166604,168139,+,1536,66,38,83,130,55,54
SAUSA300_0148,CP000255.1,168223,168426,+,204,0,0,0,0,0,0
SAUSA300_0151,CP000255.1,171207,173816,+,2610,3363,1654,3158,4075,1797,1761
SAUSA300_0152,CP000255.1,174161,174829,+,669,3,10,0,1,5,8
SAUSA300_0153,CP000255.1,174845,175531,+,687,15,18,8,6,15,9
SAUSA300_0154,CP000255.1,175534,176298,+,765,3,13,4,2,14,18
SAUSA300_0156,CP000255.1,178132,179160,+,1029,4,22,6,8,11,18
SAUSA300_0157,CP000255.1,179173,180282,+,1110,15,21,14,12,22,14
SAUSA300_0158,CP000255.1,180286,181410,+,1125,10,16,8,14,9,25
SAUSA300_0159,CP000255.1,181413,182039,+,627,1,13,2,5,5,10
SAUSA300_0160,CP000255.1,182044,183153,+,1110,8,4,8,7,18,2
SAUSA300_0161,CP000255.1,183167,184333,+,1167,6,0,2,4,2,4
SAUSA300_0162,CP000255.1,184326,185531,+,1206,1,2,0,0,0,1
SAUSA300_0163,CP000255.1,185532,186737,+,1206,10,18,18,33,30,26
SAUSA300_0164,CP000255.1,186748,187305,+,558,8,19,14,24,17,21
SAUSA300_0165,CP000255.1,187305,188192,+,888,38,39,30,29,26,25
SAUSA300_0166,CP000255.1,188246,189508,+,1263,48,54,47,40,63,55
SAUSA300_0167,CP000255.1,189555,190730,+,1176,54,50,38,38,54,52
SAUSA300_0168,CP000255.1,190795,191121,-,327,10,17,20,20,19,16
SAUSA300_0169,CP000255.1,191128,191511,-,384,15,28,19,16,14,32
SAUSA300_0170,CP000255.1,191938,193425,+,1488,1514,1363,2176,1549,1155,1616
SAUSA300_0171,CP000255.1,194071,195030,+,960,73,145,64,72,162,143
SAUSA300_0172,CP000255.1,195092,195295,-,204,6,12,3,3,15,9
SAUSA300_0173,CP000255.1,195474,195986,+,513,177,78,100,128,100,108
SAUSA300_0174,CP000255.1,196328,197068,+,741,202,89,219,235,84,109
SAUSA300_0175,CP000255.1,197082,198056,+,975,289,102,228,259,94,139
SAUSA300_0176,CP000255.1,198053,198814,+,762,246,105,282,283,120,122
SAUSA300_0177,CP000255.1,198827,199858,+,1032,668,145,487,688,125,143
SAUSA300_0178,CP000255.1,200075,200434,+,360,606,809,411,540,766,648
SAUSA300_0179,CP000255.1,200607,201632,+,1026,31,41,22,46,44,42
SAUSA300_0180,CP000255.1,202018,203268,+,1251,208,346,190,175,292,283
SAUSA300_0181,CP000255.1,203715,210890,+,7176,14646,6320,18962,14665,6713,5826
SAUSA300_0182,CP000255.1,210903,211547,+,645,1882,574,2895,1914,631,616
SAUSA300_0183,CP000255.1,211875,212369,-,495,413,1327,302,473,1386,1410
SAUSA300_0184,CP000255.1,212624,213388,-,765,18,16,19,19,6,13
SAUSA300_0185,CP000255.1,213404,214645,-,1242,20,8,14,28,14,6
SAUSA300_0186,CP000255.1,214657,215688,-,1032,0,2,4,0,2,4
SAUSA300_0187,CP000255.1,215727,216911,-,1185,16,8,14,10,2,10
SAUSA300_0188,CP000255.1,217164,218519,-,1356,250,307,224,204,340,306
SAUSA300_0189,CP000255.1,218795,219292,-,498,298,173,303,257,188,133
SAUSA300_0190,CP000255.1,219419,221059,-,1641,1350,432,1433,1223,463,482
SAUSA300_0191,CP000255.1,221333,223378,-,2046,501,188,483,534,176,154
SAUSA300_0192,CP000255.1,223964,225019,+,1056,1879,597,2036,1772,715,517
SAUSA300_0193,CP000255.1,225019,225915,+,897,886,287,823,916,286,257
SAUSA300_0194,CP000255.1,225927,227381,+,1455,563,156,687,627,226,195
SAUSA300_0195,CP000255.1,227384,228259,+,876,310,66,463,262,85,107
SAUSA300_0196,CP000255.1,228947,231736,+,2790,74,57,76,86,56,40
SAUSA300_0197,CP000255.1,231941,232783,+,843,64,137,40,55,105,87
SAUSA300_0198,CP000255.1,232785,233708,+,924,27,48,25,32,66,52
SAUSA300_0199,CP000255.1,233695,234807,+,1113,23,60,47,14,55,73
SAUSA300_0200,CP000255.1,235072,236664,-,1593,156,97,127,152,88,72
SAUSA300_0201,CP000255.1,236621,238099,+,1479,25,6,10,18,10,17
SAUSA300_0202,CP000255.1,238105,239268,+,1164,18,17,14,20,17,14
SAUSA300_0203,CP000255.1,239285,241060,+,1776,38,48,60,18,29,55
SAUSA300_0204,CP000255.1,241098,243104,+,2007,64,41,82,65,47,64
SAUSA300_0205,CP000255.1,243402,244175,-,774,0,19,6,2,6,8
SAUSA300_0206,CP000255.1,244365,244991,-,627,42,111,26,66,90,80
SAUSA300_0207,CP000255.1,245200,245778,+,579,8,46,14,18,56,32
SAUSA300_0208,CP000255.1,246161,247258,+,1098,6,0,0,5,0,0
SAUSA300_0209,CP000255.1,247271,248542,+,1272,147,142,119,141,187,109
SAUSA300_0210,CP000255.1,248545,249813,+,1269,618,465,726,663,548,659
SAUSA300_0211,CP000255.1,249815,250654,+,840,405,374,558,477,379,417
SAUSA300_0212,CP000255.1,250728,251804,+,1077,1061,590,1326,1303,639,661
SAUSA300_0213,CP000255.1,251829,252869,+,1041,1018,344,1262,1232,433,495
SAUSA300_0214,CP000255.1,252924,253892,+,969,955,277,1188,1135,370,368
SAUSA300_0215,CP000255.1,254254,254826,-,573,4,0,2,8,0,0
SAUSA300_0216,CP000255.1,254981,256360,+,1380,102,535,143,96,383,474
SAUSA300_0217,CP000255.1,256719,257477,-,759,107,32,82,102,39,54
SAUSA300_0218,CP000255.1,257470,259026,-,1557,22,45,19,26,35,19
SAUSA300_0219,CP000255.1,259023,259991,-,969,12,8,5,8,15,20
SAUSA300_0220,CP000255.1,260579,262828,+,2250,15671,5976,19099,16930,5621,5700
SAUSA300_0221,CP000255.1,262851,263606,+,756,9118,3460,12472,10265,3456,3388
SAUSA300_0222,CP000255.1,263942,265705,+,1764,8,11,8,10,8,6
SAUSA300_0223,CP000255.1,265869,266213,-,345,14,4,4,6,6,4
SAUSA300_0224,CP000255.1,266403,268232,+,1830,4,13,10,8,9,8
SAUSA300_0225,CP000255.1,268835,270019,-,1185,80,171,80,90,226,207
SAUSA300_0226,CP000255.1,270049,272310,-,2262,107,196,78,85,260,213
SAUSA300_0227,CP000255.1,272496,273707,-,1212,86,230,57,56,223,151
SAUSA300_0228,CP000255.1,273819,275324,-,1506,188,528,142,162,752,431
SAUSA300_0229,CP000255.1,275350,276927,-,1578,488,1847,482,472,2171,1396
SAUSA300_0230,CP000255.1,277368,278510,+,1143,24,18,24,28,16,16
SAUSA300_0231,CP000255.1,278824,280299,-,1476,28,38,46,33,50,42
SAUSA300_0232,CP000255.1,280497,280853,-,357,9,16,9,11,27,16
SAUSA300_0233,CP000255.1,281010,281183,-,174,31,69,47,48,93,114
SAUSA300_0234,CP000255.1,281209,282354,-,1146,418,1058,445,362,983,1083
SAUSA300_0235,CP000255.1,283071,283880,+,810,83974,58133,65091,85390,57445,62593
SAUSA300_0236,CP000255.1,284200,285729,-,1530,174,98,138,225,124,123
SAUSA300_0237,CP000255.1,286091,287026,+,936,28,8,4,4,14,10
SAUSA300_0238,CP000255.1,287365,289461,+,2097,4,2,2,0,4,0
SAUSA300_0239,CP000255.1,289446,289913,+,468,0,0,0,0,2,2
SAUSA300_0240,CP000255.1,289936,290214,+,279,0,2,0,0,0,1
SAUSA300_0241,CP000255.1,290441,291700,+,1260,12,25,13,13,16,15
SAUSA300_0242,CP000255.1,291718,292773,+,1056,12,34,24,17,28,29
SAUSA300_0243,CP000255.1,292775,292921,+,147,2,0,0,1,0,0
SAUSA300_0244,CP000255.1,292945,293988,+,1044,41,30,14,32,31,27
SAUSA300_0245,CP000255.1,294558,295232,+,675,223,331,135,228,328,323
SAUSA300_0246,CP000255.1,295225,296250,+,1026,93,156,81,99,141,130
SAUSA300_0247,CP000255.1,296272,297966,+,1695,157,194,167,180,220,293
SAUSA300_0248,CP000255.1,298394,299563,+,1170,10,16,8,12,8,22
SAUSA300_0249,CP000255.1,299839,300555,+,717,24,77,12,18,59,72
SAUSA300_0250,CP000255.1,300548,301573,+,1026,88,181,74,88,135,196
SAUSA300_0251,CP000255.1,301595,303283,+,1689,227,378,220,197,398,460
SAUSA300_0252,CP000255.1,303316,305040,+,1725,348,733,521,408,624,866
SAUSA300_0253,CP000255.1,305180,305854,+,675,936,862,1135,1013,701,771
SAUSA300_0254,CP000255.1,306116,307855,+,1740,89,47,42,59,54,37
SAUSA300_0255,CP000255.1,307858,308598,+,741,9,8,8,7,3,9
SAUSA300_0256,CP000255.1,308711,309154,+,444,4146,178,6171,4279,192,297
SAUSA300_0257,CP000255.1,309147,309848,+,702,26260,1060,27340,27188,1403,1433
SAUSA300_0258,CP000255.1,309956,310660,-,705,2,0,6,0,0,2
SAUSA300_0259,CP000255.1,310809,311600,+,792,4,4,4,0,0,0
SAUSA300_0260,CP000255.1,311616,313052,+,1437,2,8,6,6,8,2
SAUSA300_0261,CP000255.1,313486,314247,-,762,10,2,6,6,0,0
SAUSA300_0262,CP000255.1,314498,315412,-,915,114,110,156,100,115,102
SAUSA300_0263,CP000255.1,315440,315844,-,405,44,50,101,67,58,54
SAUSA300_0264,CP000255.1,315859,316740,-,882,116,98,115,99,142,109
SAUSA300_0265,CP000255.1,316972,317970,-,999,142,116,100,133,120,144
SAUSA300_0266,CP000255.1,318350,318742,+,393,0,0,6,0,2,2
SAUSA300_0267,CP000255.1,318970,319374,+,405,3,3,8,1,8,4
SAUSA300_0268,CP000255.1,319415,320791,-,1377,26,48,16,22,56,34
SAUSA300_0269,CP000255.1,321025,322017,+,993,23,35,34,40,33,38
SAUSA300_0270,CP000255.1,322343,323293,+,951,55,49,76,57,69,40
SAUSA300_0271,CP000255.1,323345,324004,-,660,4,2,4,7,0,6
SAUSA300_0272,CP000255.1,324018,324938,-,921,2,4,2,6,0,7
SAUSA300_0273,CP000255.1,324935,326101,-,1167,0,0,2,2,6,2
SAUSA300_0274,CP000255.1,326169,327692,-,1524,4,42,4,2,32,40
SAUSA300_0275,CP000255.1,327963,328616,+,654,0,0,0,0,0,0
SAUSA300_0276,CP000255.1,328650,329237,+,588,10,8,0,0,2,6
SAUSA300_0277,CP000255.1,329380,330273,-,894,34,12,30,28,8,8
SAUSA300_0278,CP000255.1,330521,330814,+,294,2040,1593,951,3491,1344,1287
SAUSA300_0279,CP000255.1,330898,333927,+,3030,16,56,41,43,74,92
SAUSA300_0280,CP000255.1,333927,334385,+,459,17,17,12,9,18,12
SAUSA300_0281,CP000255.1,334357,334599,+,243,0,1,0,0,1,0
SAUSA300_0282,CP000255.1,334612,335946,+,1335,2,0,0,2,4,2
SAUSA300_0283,CP000255.1,335968,340407,+,4440,115,160,102,87,142,145
SAUSA300_0284,CP000255.1,340437,340829,+,393,4,7,5,10,8,10
SAUSA300_0285,CP000255.1,340845,341159,+,315,21,12,10,20,13,9
SAUSA300_0286,CP000255.1,341159,341833,+,675,17,13,18,26,17,26
SAUSA300_0287,CP000255.1,341833,342150,+,318,6,10,17,22,26,16
SAUSA300_0288,CP000255.1,342160,344004,+,1845,207,253,261,237,244,273
SAUSA300_0289,CP000255.1,344015,344506,+,492,46,109,52,62,88,83
SAUSA300_0290,CP000255.1,344714,345397,+,684,10,8,3,8,2,6
SAUSA300_0291,CP000255.1,345544,346155,+,612,0,10,6,4,6,8
SAUSA300_0292,CP000255.1,346291,346509,+,219,30,4,4,30,18,8
SAUSA300_0293,CP000255.1,346641,347141,+,501,0,2,2,2,1,0
SAUSA300_0294,CP000255.1,347212,347652,+,441,2,0,0,0,0,0
SAUSA300_0295,CP000255.1,347772,348158,+,387,2,4,0,0,2,2
SAUSA300_0296,CP000255.1,348169,348660,+,492,1,6,4,4,0,0
SAUSA300_0297,CP000255.1,348870,349553,+,684,6,0,2,2,0,4
SAUSA300_0298,CP000255.1,350139,350639,+,501,1,7,0,2,0,0
SAUSA300_0299,CP000255.1,350651,351151,+,501,1,0,0,0,2,2
SAUSA300_0300,CP000255.1,351162,351662,+,501,2,4,2,4,2,0
SAUSA300_0301,CP000255.1,351673,352173,+,501,0,4,0,0,0,0
SAUSA300_0302,CP000255.1,352184,352672,+,489,0,2,0,0,0,2
SAUSA300_0303,CP000255.1,353295,353669,+,375,1,10,0,0,2,2
SAUSA300_0304,CP000255.1,353822,354220,+,399,34,25,20,28,36,20
SAUSA300_0305,CP000255.1,354436,355131,-,696,40,130,38,60,150,198
SAUSA300_0306,CP000255.1,355497,356774,-,1278,162,502,136,124,546,484
SAUSA300_0307,CP000255.1,357388,358278,+,891,24,4,8,48,6,10
SAUSA300_0308,CP000255.1,358527,359576,+,1050,296,1230,460,315,1137,1239
SAUSA300_0309,CP000255.1,359589,360266,+,678,394,1035,484,383,1055,1189
SAUSA300_0310,CP000255.1,360474,361505,+,1032,94,169,114,102,164,158
SAUSA300_0311,CP000255.1,361848,362966,+,1119,8,6,16,6,5,3
SAUSA300_0312,CP000255.1,362941,363864,+,924,18,8,19,12,8,2
SAUSA300_0313,CP000255.1,363875,365095,+,1221,22,19,31,29,28,8
SAUSA300_0314,CP000255.1,365200,366732,-,1533,51,20,62,49,36,24
SAUSA300_0315,CP000255.1,366772,367653,-,882,11,7,4,8,4,0
SAUSA300_0316,CP000255.1,367811,368671,+,861,37,26,21,29,32,20
SAUSA300_0317,CP000255.1,368949,369749,-,801,156,113,210,161,105,108
SAUSA300_0318,CP000255.1,369889,370557,+,669,27,44,18,18,24,28
SAUSA300_0319,CP000255.1,370684,371997,-,1314,42,76,64,36,88,70
SAUSA300_0320,CP000255.1,372415,374487,+,2073,17953,20141,17659,18021,20136,19215
SAUSA300_0321,CP000255.1,374729,375556,-,828,61,64,38,40,68,56
SAUSA300_0322,CP000255.1,375629,376828,-,1200,83,33,59,61,33,37
SAUSA300_0323,CP000255.1,376924,377016,+,93,0,0,0,0,0,0
SAUSA300_0324,CP000255.1,377130,378131,+,1002,57,55,18,40,89,47
SAUSA300_0325,CP000255.1,378165,378497,+,333,13,15,14,15,22,28
SAUSA300_0326,CP000255.1,378498,379298,+,801,15,28,21,14,30,27
SAUSA300_0327,CP000255.1,379288,380232,+,945,4,8,14,4,2,4
SAUSA300_0328,CP000255.1,380210,381232,+,1023,20,9,9,10,14,25
SAUSA300_0329,CP000255.1,381547,382572,+,1026,1074,714,772,977,776,732
SAUSA300_0330,CP000255.1,382665,384011,-,1347,1126,334,1513,1123,341,279
SAUSA300_0331,CP000255.1,384026,384310,-,285,122,28,215,146,34,37
SAUSA300_0332,CP000255.1,384312,384755,-,444,124,65,171,120,63,50
SAUSA300_0333,CP000255.1,384760,386715,-,1956,266,128,439,236,149,172
SAUSA300_0334,CP000255.1,386927,387346,+,420,20,6,8,10,4,12
SAUSA300_0335,CP000255.1,387453,388808,+,1356,37,36,42,52,24,20
SAUSA300_0336,CP000255.1,388912,389352,+,441,4,10,2,0,8,0
SAUSA300_0337,CP000255.1,389435,390793,-,1359,70,24,56,56,36,21
SAUSA300_0338,CP000255.1,391101,392027,+,927,455,817,490,507,758,875
SAUSA300_0339,CP000255.1,392041,393102,+,1062,913,1532,868,954,1385,1457
SAUSA300_0340,CP000255.1,393116,393682,+,567,180,352,219,250,328,392
SAUSA300_0341,CP000255.1,393742,394737,-,996,11,6,4,12,16,14
SAUSA300_0342,CP000255.1,394736,395131,+,396,15,6,6,8,6,6
SAUSA300_0343,CP000255.1,395211,395756,+,546,69,74,108,119,70,89
SAUSA300_0344,CP000255.1,396024,396878,+,855,3,4,4,4,4,2
SAUSA300_0345,CP000255.1,396875,398104,+,1230,15,11,0,10,10,15
SAUSA300_0346,CP000255.1,398115,399797,+,1683,22,18,31,27,22,23
SAUSA300_0347,CP000255.1,399889,400545,-,657,33,5,38,36,29,7
SAUSA300_0348,CP000255.1,400607,400831,-,225,43,20,46,48,24,21
SAUSA300_0349,CP000255.1,400931,401320,-,390,20,29,27,11,21,11
SAUSA300_0350,CP000255.1,401561,401764,+,204,0,3,0,2,2,1
SAUSA300_0351,CP000255.1,401761,402474,+,714,15,24,22,21,14,28
SAUSA300_0352,CP000255.1,402499,403341,+,843,22,33,34,8,26,53
SAUSA300_0353,CP000255.1,403341,403970,+,630,66,280,73,73,234,287
SAUSA300_0354,CP000255.1,404337,405470,-,1134,6,12,2,2,10,6
SAUSA300_0355,CP000255.1,406009,407190,+,1182,341,382,335,284,387,412
SAUSA300_0356,CP000255.1,407273,408025,-,753,75,56,61,54,75,87
